Category,"Sep. 26, 2020","Sep. 28, 2019"
Net (loss) income,-910650.0,631425.0
Depreciation and amortization,22148.0,27942.0
Stock-based compensation,55526.0,55068.0
Accounts receivable,-8489.0,433570.0
Inventories,140161.0,326484.0
Other current assets,-35233.0,24029.0
Deferred revenue,,-2106514.0
Customer deposits,159907.0,-33582.0
Accounts payable and accrued liabilities,-123917.0,268759.0
Cash used in operating activities,-700547.0,-372819.0
Additions to equipment and leasehold improvements,-3396.0,-16220.0
Cash used in investing activities,-3396.0,-16220.0
Increase in deferred income,474400.0,
Proceeds from long-term debt,150000.0,
Cash provided by financing activities,624400.0,
"Net decrease in cash, cash equivalents and restricted cash",-79543.0,-389039.0
Cash and cash equivalents at beginning of year,1593395.0,1982434.0
Cash and cash equivalents at end of year,1513852.0,1593395.0
Income taxes paid,912.0,912.0
